Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"NUTS","","NUTS","NUTS"
"NUTS","BG","Общо за страната","Total for the country"
"NUTS","BG31","Северозападен","Severozapaden"
"NUTS","BG311","Видин","Vidin"
"NUTS","BG312","Монтана","Montana"
"NUTS","BG313","Враца","Vratsa"
"NUTS","BG314","Плевен","Pleven"
"NUTS","BG315","Ловеч","Lovech"
"NUTS","BG32","Северен централен","Severen tsentralen"
"NUTS","BG321","Велико Търново","Veliko Tarnovo"
"NUTS","BG322","Габрово","Gabrovo"
"NUTS","BG323","Русе","Ruse"
"NUTS","BG324","Разград","Razgrad"
"NUTS","BG325","Силистра","Silistra"
"NUTS","BG33","Североизточен","Severoiztochen"
"NUTS","BG331","Варна","Varna"
"NUTS","BG332","Добрич","Dobrich"
"NUTS","BG333","Шумен","Shumen"
"NUTS","BG334","Търговище","Targovishte"
"NUTS","BG34","Югоизточен","Yugoiztochen"
"NUTS","BG341","Бургас","Burgas"
"NUTS","BG342","Сливен","Sliven"
"NUTS","BG343","Ямбол","Yambol"
"NUTS","BG344","Стара Загора","Stara Zagora"
"NUTS","BG41","Югозападен","Yugozapaden"
"NUTS","BG411","София (столица)","Sofia-grad"
"NUTS","BG412","София","Sofia"
"NUTS","BG413","Благоевград","Blagoevgrad"
"NUTS","BG414","Перник","Pernik"
"NUTS","BG415","Кюстендил","Kyustendil"
"NUTS","BG42","Южен централен","Yuzhen tsentralen"
"NUTS","BG421","Пловдив","Plovdiv"
"NUTS","BG422","Хасково","Haskovo"
"NUTS","BG423","Пазарджик","Pazardzhik"
"NUTS","BG424","Смолян","Smolyan"
"NUTS","BG425","Кърджали","Kardzhali"
"Units","","Мерни единици","Measuring units"
"Units","perc","процент","Per cent"
"GenderID","","Пол","Sex"
"GenderID","0","Общо","Total"
"GenderID","1","Мъже","Male"
"GenderID","2","Жени","Female"
