RevisionColumn,Age10_LFS,LFS_EDUlevel,periods,Units,ValueColumn
"r_2","0","0","2003Q1","perc","48"
"r_2","0","0","2003Q2","perc","49.9"
"r_2","0","0","2003Q3","perc","50.3"
"r_2","0","0","2003Q4","perc","48.5"
"r_2","0","0","2004Q1","perc","48.1"
"r_2","0","0","2004Q2","perc","50.5"
"r_2","0","0","2004Q3","perc","50.8"
"r_2","0","0","2004Q4","perc","49.4"
"r_2","0","0","2005Q1","perc","48"
"r_2","0","0","2005Q2","perc","50.1"
"r_2","0","0","2005Q3","perc","51.1"
"r_2","0","0","2005Q4","perc","49.6"
"r_2","0","0","2006Q1","perc","48.9"
"r_2","0","0","2006Q2","perc","51.8"
"r_2","0","0","2006Q3","perc","52.7"
"r_2","0","0","2006Q4","perc","51.8"
"r_2","0","0","2007Q1","perc","51.3"
"r_2","0","0","2007Q2","perc","52.6"
"r_2","0","0","2007Q3","perc","53.5"
"r_2","0","0","2007Q4","perc","53"
"r_2","0","0","2008Q1","perc","53.2"
"r_2","0","0","2008Q2","perc","54.1"
"r_2","0","0","2008Q3","perc","54.4"
"r_2","0","0","2008Q4","perc","53.5"
"r_2","0","0","2009Q1","perc","52.9"
"r_2","0","0","2009Q2","perc","53.5"
"r_2","0","0","2009Q3","perc","53.4"
"r_2","0","0","2009Q4","perc","52.3"
"r_2","0","0","2010Q1","perc","52.6"
"r_2","0","0","2010Q2","perc","53.6"
"r_2","0","0","2010Q3","perc","53.9"
"r_2","0","0","2010Q4","perc","53.5"
"r_2","0","0","2011Q1","perc","52"
"r_2","0","0","2011Q2","perc","52.1"
"r_2","0","0","2011Q3","perc","53.2"
"r_2","0","0","2011Q4","perc","52.8"
"r_2","0","0","2012Q1","perc","51.8"
"r_2","0","0","2012Q2","perc","52.7"
"r_2","0","0","2012Q3","perc","54.2"
"r_2","0","0","2012Q4","perc","53.6"
"r_2","0","0","2013Q1","perc","52.8"
"r_2","0","0","2013Q2","perc","53.9"
"r_2","0","0","2013Q3","perc","54.8"
"r_2","0","0","2013Q4","perc","54"
"r_2","0","0","2014Q1","perc","53.5"
"r_2","0","0","2014Q2","perc","54.1"
"r_2","0","0","2014Q3","perc","55.2"
"r_2","0","0","2014Q4","perc","53.9"
