RevisionColumn,GenderID,Age10_LFS,Units,periods,ValueColumn
"r_2","0","0","1000cp","2003Q1","2704.3"
"r_2","0","0","1000cp","2003Q2","2876"
"r_2","0","0","1000cp","2003Q3","2933.1"
"r_2","0","0","1000cp","2003Q4","2825.6"
"r_2","0","0","1000cp","2004Q1","2783.8"
"r_2","0","0","1000cp","2004Q2","2969.8"
"r_2","0","0","1000cp","2004Q3","3024.6"
"r_2","0","0","1000cp","2004Q4","2911.9"
"r_2","0","0","1000cp","2005Q1","2838.4"
"r_2","0","0","1000cp","2005Q2","3008.9"
"r_2","0","0","1000cp","2005Q3","3098.1"
"r_2","0","0","1000cp","2005Q4","2982.3"
"r_2","0","0","1000cp","2006Q1","2940.5"
"r_2","0","0","1000cp","2006Q2","3139.1"
"r_2","0","0","1000cp","2006Q3","3200.8"
"r_2","0","0","1000cp","2006Q4","3159.6"
"r_2","0","0","1000cp","2007Q1","3135.4"
"r_2","0","0","1000cp","2007Q2","3253.1"
"r_2","0","0","1000cp","2007Q3","3315.5"
"r_2","0","0","1000cp","2007Q4","3306.4"
"r_2","0","0","1000cp","2008Q1","3289.9"
"r_2","0","0","1000cp","2008Q2","3372.1"
"r_2","0","0","1000cp","2008Q3","3417.3"
"r_2","0","0","1000cp","2008Q4","3363.5"
"r_2","0","0","1000cp","2009Q1","3262.8"
"r_2","0","0","1000cp","2009Q2","3300.1"
"r_2","0","0","1000cp","2009Q3","3280"
"r_2","0","0","1000cp","2009Q4","3171.6"
"r_2","0","0","1000cp","2010Q1","3030.9"
"r_2","0","0","1000cp","2010Q2","3096.2"
"r_2","0","0","1000cp","2010Q3","3129.8"
"r_2","0","0","1000cp","2010Q4","3044.1"
"r_2","0","0","1000cp","2011Q1","2904.4"
"r_2","0","0","1000cp","2011Q2","2946"
"r_2","0","0","1000cp","2011Q3","3036.5"
"r_2","0","0","1000cp","2011Q4","2973.8"
"r_2","0","0","1000cp","2012Q1","2853.2"
"r_2","0","0","1000cp","2012Q2","2913.7"
"r_2","0","0","1000cp","2012Q3","3017.1"
"r_2","0","0","1000cp","2012Q4","2951.8"
"r_2","0","0","1000cp","2013Q1","2855"
"r_2","0","0","1000cp","2013Q2","2940.2"
"r_2","0","0","1000cp","2013Q3","3012.9"
"r_2","0","0","1000cp","2013Q4","2931.6"
"r_2","0","0","1000cp","2014Q1","2894.1"
"r_2","0","0","1000cp","2014Q2","2979.8"
"r_2","0","0","1000cp","2014Q3","3061.9"
"r_2","0","0","1000cp","2014Q4","2989.7"
"r_2","0","0","1000cp","2015Q1","2949.8"
"r_2","0","0","1000cp","2015Q2","3011.2"
"r_2","0","0","1000cp","2015Q3","3104.7"
"r_2","0","0","1000cp","2015Q4","3061.7"
"r_2","0","15 - 64","1000cp","2003Q1","2666"
"r_2","0","15 - 64","1000cp","2003Q2","2818.7"
"r_2","0","15 - 64","1000cp","2003Q3","2875.5"
"r_2","0","15 - 64","1000cp","2003Q4","2780"
"r_2","0","15 - 64","1000cp","2004Q1","2740.9"
"r_2","0","15 - 64","1000cp","2004Q2","2922"
"r_2","0","15 - 64","1000cp","2004Q3","2973.7"
